country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Indonesia,2020,WorldBank,97.0,"8,342,470",99.6,"619,706",93.5,"7,722,764",,84.0,75.0,93.0,3.5,4.1,7.628,3.999,3.629,0.705,67.6,8.6,"11,466",0%,-1%,0.004,-0.03,4,33,57600,275030.000000001,11,380,3.74,5.63,2.88,3.66,0.583,0.156,0.42,0,6.627,9.29,117,IDN-20220530,IDN,Indonesia,360,ID,IDN,IDN,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,131637214,16918606,0.8861128026,279134488
Iran,,"IFS, Pardee",,,,,,,,,,,,,0.012,0.004,0.008,,,,,0%,0%,0,0,0,1.2,0,30,0,7.7,0,-0.01,0,-0.01,0,0,0,0,-0.002,-0.018,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),2020,WorldBank,100.0,0,100.0,0,100.0,0,,96.0,92.0,99.0,1.1,1.2,,,,0.774,73.9,10.6,"13,001",,,,,,,,,,,,,,,,,,,,,122,IRN-20220530,IRN,Iran (Islamic Republic of),364,IR,IRN,IRN,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,86022847
Iraq,2020,WorldBank,100.0,0,100.0,0,100.0,0,,99.0,98.0,99.0,0.1,5.5,0.295,0.094,0.201,0.686,70.4,7.9,"9,977",0%,0%,0,0,0.3,4,2,94.0000000001,0.8,40.6,0.08,0,0.16,0.15,0.008,0,0.02,-0.01,0.239,0.149,123,IRQ-20220530,IRQ,Iraq,368,IQ,IRQ,IRQ,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,20509516,534965,0.9745793208,42164968
Ireland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0.7,0.006,0.003,0.003,0.945,82,11.6,"76,169",0%,0%,0,0,0.1,2.2,0,-18,0.3,22.8,0,0.05,0,0.01,0.001,0.002,0,0,0.005,0.055,121,IRL-20220530,IRL,Ireland,372,IE,IRL,IRL,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,5019282
Isla Brasilera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,XIB-20220530,XIB,,914,XO,XIB,XIB,5,South America,419,Latin America and the Caribbean,19,Americas,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,2
Isle of Man,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,IMN-20220530,IMN,Isle of Man (UK),833,IM,IMN,GBR,154,Northern Europe,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,85737
Israel,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.5,1.1,0.000,0.000,0.000,0.919,82.3,13.3,"41,524",0%,0%,0,0,0.1,0.2,0,-3,0.3,2.9,0,0,0,0,0,0,0,0,0,0,125,ISR-20220530,ISR,Israel,376,IL,ISR,ISR,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,8922894
Italy,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,1.5,2.9,0.258,0.164,0.094,0.895,82.9,10.7,"42,840",0%,0%,-0.001,-0.001,2,8,-60,-289.9999999999,5,103,0.12,1.02,0.06,1.01,0.012,0.041,0,0.05,0.183,2.023,126,ITA-20220530,ITA,Italy,380,IT,ITA,ITA,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,60262764
Jadh-Nelang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,XJN-20220530,XJN,,919,XT,XJN,XJN,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,2922
Jamaica,2020,WorldBank,100.0,0,100.0,0,100.0,0,,83.0,78.0,90.0,1.2,,0.000,0.000,0.000,0.709,70.5,9.2,"8,834",0%,1%,0,0,0,0.01,0,0,0.02,0.25,0,0,0,0,0,0,0,0,0,0,127,JAM-20220530,JAM,Jamaica,388,JM,JAM,JAM,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,1566737,41990,0.9738986167,2985086
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,XJK-20220530,XJK,Jammu and Kashmir,917,XR,XJK,XJK,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,7773842,2570597,0.7514996222,19492752
Japan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.7,0.8,0.632,0.163,0.469,0.925,84.8,13.4,"42,274",0%,0%,-0.002,-0.003,6,32,-50.0000000001,-1329.9999999999,20,390,0.13,0.85,0.35,4.42,0.009,0.037,0.05,0.21,0.479,5.265,130,JPN-20220530,JPN,Japan,392,JP,JPN,JPN,30,Eastern Asia,30,Eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,125584844
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,JEY-20220530,JEY,Jersey (UK),832,JE,JEY,GBR,830,Channel Islands,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,105411
Jordan,2020,WorldBank,99.9,"10,203",100.0,0,98.8,"10,203",,100.0,99.0,100.0,0,0.3,0.003,0.001,0.002,0.72,74.3,10.4,"9,924",0%,0%,0,0,0.03,0.15,-1,21,0.11,1.73,0,0,-0.01,0,0,0,0,0,-0.005,0.007,129,JOR-20220530,JOR,Jordan,400,JO,JOR,JOR,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,4355342,24553,0.9943941579,10300861
Kalapani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,XKA-20220530,XKA,,920,XU,XKA,XKA,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,78
Kauirik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,XKU-20220530,XKU,,924,XY,XKU,XKU,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,1345
Kazakhstan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,93.0,87.0,98.0,0,0,0.167,0.104,0.063,0.811,69.4,12.3,"23,943",0%,0%,0,0,0.7,4.7,7,107,1.9,61.2,0.09,0.05,0.06,0.03,0.008,-0.002,0.01,0,0.144,0.074,131,KAZ-20220530,KAZ,Kazakhstan,398,KZ,KAZ,KAZ,143,Central Asia,143,Central Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,19205038
Kenya,2020,WorldBank,71.4,"15,358,190",94.0,"905,271",62.7,"14,452,919",,20.0,5.0,44.0,29.4,45.4,10.104,8.974,1.130,0.575,61.4,6.7,"4,474",-13%,-51%,-0.08,-0.463,1.2,22.5,25632,94887.9999999999,3.34,200.24,6.94,6.1,0.95,1.4,0.912,-0.132,0.14,0.01,7.888,7.497,132,KEN-20220530,KEN,Kenya,404,KE,KEN,KEN,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,13486949,13612493,0.4976836423,56215218
Kiribati,2020,WorldBank,92.0,"9,600",88.4,"7,710",96.4,"1,890",,10.0,0.0,17.0,1.7,21,,,,0.624,67.4,8,"4,063",,,,,,,,,,,,,,,,,,,,,135,KIR-20220530,KIR,Kiribati,296,KI,KIR,KIR,57,Micronesia,57,Micronesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,,,,123414
Korea (Democratic People's Rep. of),,,,,,,,,,,,,,,,,,..,73.3,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea (Republic of),,,,,,,,,,,,,,,,,,0.925,83.7,12.5,"44,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Republic",,"IFS, Pardee",,,,,,,,,,,,,4.693,2.677,2.016,,,,,6%,-113%,0.042,-0.268,0.5,3.34,133373,534977.000000001,1.59,38.16,1.91,2.31,1.49,1.43,0.212,0.004,0.17,-0.02,3.396,3.741,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",,"IFS, Pardee",,,,,,,,,,,,,0.000,0.000,0.000,,,,,0%,0%,0,0,0,0,0,-30,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,2017,HBS,,,,,,,,,,,,0.8,0.000,0.000,0.000,,,,,0%,0%,0,0,0.01,0.01,0,1,0.01,0.09,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Koualou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,XKO-20220530,XKO,,923,XX,XKO,XKO,11,Western Africa,202,Sub-Saharan Africa,2,Africa,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,452,0,661
Kuril Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,XKI-20220530,XKI,,921,XV,XKI,RUS,30,Eastern Asia,30,Eastern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,14382
Kuwait,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,,0.004,0.000,0.004,0.831,78.7,7.3,"52,920",0%,0%,0,0,0.1,1.3,0,-4,0.3,10.5,0,0,0,0.01,0,0,0,0,0.001,0.009,138,KWT-20220530,KWT,Kuwait,414,KW,KWT,KWT,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,4380339
Kyrgyzstan,2020,WorldBank,100.0,"1,249",99.5,"12,048",100.0,0,,77.0,66.0,94.0,1.3,1.3,0.000,0.000,0.000,0.692,70,11.4,"4,566",-1%,-2%,-0.001,-0.001,0,0.02,15,27,0.006,0.226,0,0,0,0,0,0,0,0,-0.005,-0.005,133,KGZ-20220530,KGZ,Kyrgyzstan,417,KG,KGZ,KGZ,143,Central Asia,143,Central Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,6728270
Lao People's Dem. Republic,,"IFS, Pardee",,,,,,,,,,,,,0.311,0.235,0.076,,,,,3%,0%,0.002,0,0.16,2.31,5226,11440,0.43,22.12,0.18,0.03,0.06,0.03,0.024,-0.004,0.01,0,0.243,0.065,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,2020,WorldBank,100.0,0,100.0,0,100.0,0,,8.0,2.0,19.0,7.1,10.3,,,,0.607,68.1,5.4,"7,700",,,,,,,,,,,,,,,,,,,,,139,LAO-20220530,LAO,Lao People's Democratic Republic,418,LA,LAO,LAO,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,1964180,2939384,0.4005617139,7481026
Lapthal-Bara Hoti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,XLB-20220530,XLB,,926,XZ,XLB,XLB,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,1092
Latvia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.2,0.6,0.000,0.000,0.000,0.863,73.6,13.3,"32,803",0%,0%,0,0,0.01,0.02,1,1,0.02,0.35,0,0,0,0,0,0,0,0,0,0,149,LVA-20220530,LVA,Latvia,428,LV,LVA,LVA,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,1848834
Lebanon,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,0.7,0.084,0.010,0.074,0.706,75,8.7,"9,526",2%,-34%,0.002,-0.023,0.13,1.1,-3,91,0.43,11.75,0.01,0.01,0.05,0.07,0.001,-0.002,0.01,0,0.0582,0.0797,140,LBN-20220530,LBN,Lebanon,422,LB,LBN,LBN,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,6684852
Lesotho,2020,WorldBank,47.4,"1,127,837",77.7,"138,515",34.9,"989,322",,40.0,20.0,79.0,32.4,40.7,0.528,0.496,0.032,0.514,53.1,6,"2,700",-19%,-296%,-0.003,-0.074,0.051,0.551,2995,11669,0.161,5.483,0.36,0.42,0.02,0.03,0.042,-0.003,0,0,0.381,0.457,146,LSO-20220530,LSO,Lesotho,426,LS,LSO,LSO,18,Southern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,453081,735869,0.3810765802,2175694
Liancourt Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,XLR-20220530,XLR,,927,QM,XLR,XLR,30,Eastern Asia,30,Eastern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,35
Liberia,2020,WorldBank,27.5,"3,665,060",45.2,"1,444,425",8.4,"2,220,636",,0.0,0.0,0.0,27.6,56.6,0.683,0.567,0.116,0.481,60.7,5.1,"1,289",5%,-112%,0.005,-0.101,0.014,0.56,3783,12385,0.038,4.179,0.43,0.58,0.09,0.06,0.054,-0.006,0.01,-0.01,0.517,0.644,141,LBR-20220530,LBR,Liberia,430,LR,LBR,LBR,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,671578,1512586,0.3074759954,5305125
Libya,2020,WorldBank,69.7,"2,081,495",100.0,0,0.0,0,,0.0,0.0,0.0,n/a,,0.002,0.001,0.001,0.718,71.9,7.6,"15,336",0%,0%,0,0,0.4,0.8,5,29,2,13.4,-0.01,-0.01,-0.02,-0.02,0,0,0,0,-0.037,-0.037,142,LBY-20220530,LBY,Libya,434,LY,LBY,LBY,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3460691,169199,0.9533872927,7040747
Liechtenstein,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,0.935,83.3,12.5,"146,830",,,,,,,,,,,,,,,,,,,,,144,LIE-20220530,LIE,Liechtenstein,438,LI,LIE,LIE,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,38388
Lithuania,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.5,1,0.000,0.000,0.000,0.875,73.7,13.5,"37,931",0%,0%,0,0,0.01,0.1,0,0,0.04,0.59,0,0,0,0,0,0,0,0,0,0,147,LTU-20220530,LTU,Lithuania,440,LT,LTU,LTU,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,2661711
Luxembourg,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.1,0.9,0.003,0.001,0.003,0.93,82.6,13,"84,649",0%,0%,0,0,0.08,0.43,0,-6,0.24,5.18,0,0,0,0,0,0,0,0,0.0022,0.0035,148,LUX-20220530,LUX,Luxembourg,442,LU,LUX,LUX,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,642365
"Macao, Special Administrative Region of China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,MAC-20220530,MAC,"Macao, SAR China",446,MO,MAC,CHN,30,Eastern Asia,30,Eastern Asia,142,Asia,6,Special region or province,2021/05/28,2022/05/30,intl,,,,667492
"Macedonia, North",,"IFS, Pardee",,,,,,,,,,,,,0.000,0.000,0.000,,,,,1%,0%,0,0,0,0.01,0,1,0,0.13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Machias Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,XMA-20220530,XMA,,928,QN,XMA,XMA,21,Northern America,21,Northern America,19,Americas,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,0
Madagascar,2020,WorldBank,33.7,"18,349,432",70.2,"3,183,854",10.9,"15,165,579",,1.0,0.0,2.0,80.7,82.9,7.402,6.160,1.242,0.501,64.5,5.1,"1,484",-53%,-927%,-0.17,-4.9,0.68,14.04,44642,224936,2.04,116.97,5.25,7.43,1.13,1.96,0.602,0.037,0.15,0.04,6.38,9.387,155,MDG-20220530,MDG,Madagascar,450,MG,MDG,MDG,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,2356531,11657525,0.1681548154,29178100
Malawi,2020,WorldBank,14.9,"16,285,949",54.0,"1,534,195",6.6,"14,751,754",,1.0,0.0,4.0,70.1,78.3,0.001,0.001,0.000,0.512,62.9,4.5,"1,466",0%,-17%,0,-0.061,0,0.14,104,384,0.01,1.07,-0.02,-0.02,0,0,0,0,0,0,-0.016,-0.016,171,MWI-20220530,MWI,Malawi,454,MW,MWI,MWI,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,2663114,7280992,0.2678082876,20180835
Malaysia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,96.0,92.0,98.0,0,0.2,0.071,0.026,0.045,0.803,74.9,10.6,"26,658",0%,0%,0,0,0.3,1,-2,-20.0000000001,1,17.6,0.02,0.03,0.03,0.02,0.002,0,0,0,0.052,0.042,172,MYS-20220530,MYS,Malaysia,458,MY,MYS,MYS,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,16693580,764722,0.9561972293,33181078
Maldives,2020,WorldBank,100.0,0,100.0,0,100.0,0,,99.0,99.0,100.0,0,0,0.000,0.000,0.000,0.747,79.9,7.3,"15,448",0%,-1%,0,0,0.001,0.007,2,2,0.004,0.059,0,0,0,0,0,0,0,0,-0.0006,0.0007,156,MDV-20220530,MDV,Maldives,462,MV,MDV,MDV,34,Southern Asia,34,Southern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,540980
Mali,2020,WorldBank,50.6,"10,011,725",94.1,"525,606",16.5,"9,486,119",,1.0,0.0,2.0,14.8,43.7,3.349,2.863,0.486,0.428,58.9,2.3,"2,133",-8%,-216%,-0.01,-0.954,0.31,6.64,19355,76739,0.91,54.23,2.31,3.48,0.43,0.77,0.304,0.012,0.06,0.01,2.738,4.255,160,MLI-20220530,MLI,Mali,466,ML,MLI,MLI,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3514052,6670828,0.3450263528,21473785
Malta,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.3,0.4,0.000,0.000,0.000,0.918,83.8,12.2,"38,884",0%,0%,0,0,0.01,0.01,0,-4,0.03,0.35,0,0,0,0,0,0,0,0,0,0,161,MLT-20220530,MLT,Malta,470,MT,MLT,MLT,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,444030
Marshall Islands,2020,WorldBank,99.2,497,96.0,"1,865",100.0,0,,64.0,1.0,85.0,0.9,1.1,,,,0.639,65.3,10.9,"4,620",,,,,,,,,,,,,,,,,,,,,158,MHL-20220530,MHL,Marshall Islands,584,MH,MHL,MHL,57,Micronesia,57,Micronesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,15176,5294,0.7413776258,60048
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,MTQ-20220530,MTQ,Martinique (Fr.),474,MQ,MTQ,FRA,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,374083
Mauritania,2020,WorldBank,47.3,"2,448,119",88.4,"299,058",0.0,0,,43.0,18.0,64.0,6.5,45.7,0.579,0.506,0.073,0.556,64.4,4.9,"5,075",3%,-32%,0.002,-0.03,0.14,1.77,2373,7017,0.44,17.77,0.38,0.34,0.06,0.07,0.049,-0.008,0.01,0,0.439,0.414,167,MRT-20220530,MRT,Mauritania,478,MR,MRT,MRT,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,1043539,1298662,0.4455377655,4901976
Mauritius,2020,WorldBank,99.7,"4,283",99.4,"3,051",99.8,"1,232",,97.0,96.0,98.0,0.1,0.4,0.013,0.010,0.003,0.802,73.6,10.4,"22,025",0%,0%,0,0,0.02,0.05,0,2,0.06,0.75,0.01,0,0,0,0.001,0,0,0,0.0136,0.0056,170,MUS-20220530,MUS,Mauritius,480,MU,MUS,MUS,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,634494,24288,0.9631319617,1274719
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,MYT-20220530,MYT,Mayotte (Fr.),175,YT,MYT,FRA,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,286254
Mexico,2020,WorldBank,99.4,"773,597",99.8,"208,177",97.7,"565,419",,85.0,59.0,91.0,3.1,3.4,0.353,0.080,0.273,0.758,70.2,9.2,"17,896",0%,-1%,-0.002,-0.014,2,12,1870,8280.0000000001,5,150,0.04,0.08,0.2,0.28,0.005,0.001,0.02,0.01,0.245,0.361,157,MEX-20220530,MEX,Mexico,484,MX,MEX,MEX,13,Central America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,70857129,2480011,0.9661834236,131562798
Micronesia,,"IFS, Pardee",,,,,,,,,,,,,0.005,0.005,0.000,,,,,-11%,-78%,0,-0.001,0.001,0.015,36,118,0.002,0.15,0,0,0,0,0.001,0,0,0,0.0049,0.0028,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),2020,WorldBank,82.9,"19,639",96.7,869,78.8,"18,770",,13.0,3.0,34.0,16,22.7,,,,0.628,70.7,7.8,"3,696",,,,,,,,,,,,,,,,,,,,,92,FSM-20220530,FSM,Micronesia (Federated States of),583,FM,FSM,FSM,57,Micronesia,57,Micronesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,3404,1776,0.6571428571,117484
Moldova (Republic of),,,,,,,,,,,,,,,,,,0.767,68.8,11.8,"14,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moldova, Republic of",,"IFS, Pardee",,,,,,,,,,,,,0.000,0.000,0.000,,,,,0%,0%,0,0,0,0,2,2,0,0.04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Monaco,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,,,,,..,85.9,..,..,,,,,,,,,,,,,,,,,,,,,153,MCO-20220530,MCO,Monaco,492,MC,MCO,MCO,155,Western Europe,155,Western Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,39778
Mongolia,2020,WorldBank,98.1,"62,288",99.7,"6,752",94.6,"55,535",,52.0,15.0,69.0,0.7,2,0.103,0.059,0.044,0.739,71,9.4,"10,588",0%,0%,0,0,0.07,0.73,569,1145,0.18,7.48,0.04,0.01,0.03,0.01,0.006,-0.001,0.01,0,0.074,0.019,164,MNG-20220530,MNG,Mongolia,496,MN,MNG,MNG,30,Eastern Asia,30,Eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,1347005,359325,0.7894164669,3378079
Mont Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,XMB-20220530,XMB,,929,QO,XMB,XMB,155,Western Europe,155,Western Europe,150,Europe,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,0
Montenegro,2020,WorldBank,100.0,0,100.0,0,100.0,0,,62.0,44.0,72.0,2.8,1.2,0.000,0.000,0.000,0.832,76.3,12.2,"20,839",0%,0%,0,0,0.004,0.01,0,0,0.011,0.158,0,0,0,0,0,0,0,0,0,0,163,MNE-20220530,MNE,Montenegro,499,ME,MNE,MNE,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,627953
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,MSR-20220530,MSR,Montserrat (UK),500,MS,MSR,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,4968
Morocco,2020,WorldBank,100.0,0,100.0,0,100.0,0,,98.0,96.0,99.0,1.4,5.8,0.773,0.318,0.455,0.683,74,5.9,"7,303",0%,0%,0,-0.001,0.3,1.9,326,1088.0000000001,0.8,21.6,0.22,-0.03,0.35,0.29,0.023,0,0.05,-0.01,0.563,0.256,152,MAR-20220530,MAR,Morocco,504,MA,MAR,MAR,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,1362825450,178038883,0.8844551858,37772756
Moselle River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,XMR-20220530,XMR,,930,QP,XMO,XMO,155,Western Europe,155,Western Europe,150,Europe,8,Joint sovereignty,2021/05/28,2022/05/30,intl,,,,165
Mozambique,2020,WorldBank,30.6,"21,690,074",75.0,"2,901,172",4.5,"18,788,902",,5.0,0.0,14.0,64.6,73.7,8.433,8.071,0.362,0.446,59.3,3.2,"1,198",-23%,-211%,-0.09,-1.37,0.61,10.8,16933,66037,1.78,92.93,7.62,10.3,0.31,0.08,0.845,-0.029,0.04,0,7.937,10.382,166,MOZ-20220530,MOZ,Mozambique,508,MZ,MOZ,MOZ,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,5225877,10919542,0.3236755268,33089460
Myanmar,2020,WorldBank,70.4,"16,106,826",93.0,"1,180,324",60.2,"14,926,501",,31.0,11.0,76.0,2,15.4,0.065,0.051,0.014,0.585,65.7,6.4,"3,851",0%,0%,0,-0.001,0.08,0.6,3100,9940.0000000013,0.28,6.48,0.04,0.03,0.01,0.01,-0.001,-0.003,0,0,0.049,0.039,162,MMR-20220530,MMR,Myanmar,104,MM,MMR,MMR,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,1637069170,503786909,0.7646796934,55227154
